"Aletschhorn","4193","Hauptgipfel","Wallis	Aletschgebiet","CH"
"Allalinhorn","4027","Nebengipfel","Walliser Alpen	","CH"
"Alperschällihorn","3036","Hauptgipfel","Adula-Alpen	Splügener Kalkberge","CH"
"Alphubel","4206","Hauptgipfel","Wallis Mischabel-Gruppe","CH"
"Altels","3629","Nebengipfel","Berner Alpen	Balmhorngruppe","CH"
"Altenalptürm","2033","Nebengipfel","Ostschweiz	Alpstein","CH"
"Altmann","2436","Hauptgipfel","Ostschweiz	Alpstein","CH"
"Alvier","2343","Nebengipfel","Ostschweiz	Alvierkette","CH"
"Aubrig","1695","Hauptgipfel","Schwyz Schwyzer Alpen","CH"
"Bächenstock","2944","Nebengipfel","Urner Alpen	Diederberge","CH"
"Bachtel","1115","Hauptgipfel","Mittelland	Zürcher Oberland","CH"
"Badus","2928","Hauptgipfel","Graubünden/Uri	Gotthardmassiv","CH"
"Balmhorn","3698","Hauptgipfel","Berner Alpen	Balmhorngruppe","CH"
"Bella Tola","3025","Nebengipfel","Wallis	","CH"
"Bellavista","3922","Nebengipfel","Engadin	Berninagruppe","CH"
"Bietschhorn","3934","Hauptgipfel","Wallis	Aletsch","CH"
"Bifertenstock","3419","Hauptgipfel","Glarner Alpen	Brigelserhörner","CH"
"Blüemlisalp","3661","Hauptgipfel","Berner Alpen	Blüemlisalp(gruppe)","CH"
"Blüemlisalp Rothore","3297","Nebengipfel","Berner Alpen	Blüemlisalpgruppe","CH"
"Born","719","Nebengipfel","Mittelland	","CH"
"Bös Fulen","2801","Hauptgipfel","Glarner Alpen	Silberen-Glärnisch","CH"
"Breithorn BE/VS","3780","Hauptgipfel","Berner Alpen	","CH"
"Breithorn VS","4164","Hauptgipfel","Walliser Alpen	","CH"
"Brienzer Rothorn","2350","Hauptgipfel","Emmentaler Alpen	","CH"
"Brisen","2404","Nebengipfel","Zentralschweiz	Urner Alpen","CH"
"Brisi","2279","Hauptgipfel","Walensee	Churfirsten","CH"
"Brünnelistock","2133","Nebengipfel","Glarner Alpen	","CH"
"Bruschghorn","3056","Hauptgipfel","Adula-Alpen	","CH"
"Burgfeldstand","2063","Hauptgipfel","Emmentaler Alpen	Güggisgrat","CH"
