"Adelegg	Schwarzer","Grat","1118","Baden-Württemberg"
"Ahlsburg","Sackberg","411,4","Niedersachsen"
"Ahrgebirge","Aremberg","623,8","Rheinland-Pfalz"
"Allgäuer Alpen","Hochfrottspitze","2649","Bayern"
"Alpen","Zugspitze","2962,06","Bayern"
"Altdorfer Wald","namenlose Kuppe","776,6","Baden-Württemberg"
"Ammergauer Alpen","Kreuzspitze","2185","Bayern"
"Amtsberge","Belzer Berg","392,2","Niedersachsen"
"Ankumer Höhe","Trillenberg","140","Niedersachsen"
"Arnsberger Wald","Plackweghöhe","581,5","Nordrhein-Westfalen"
"Atzenberger Höhe","namenlose Kuppe","706,5","Baden-Württemberg"
"Baumberge","Westerberg","187,6","Nordrhein-Westfalen"
"Bayerische Alpen","Zugspitze","2962,06","Bayern"
"Bayerischer Wald","Großer Arber","1456","Bayern"
"Beckumer Berge","Mackenberg","174,4","Nordrhein-Westfalen"
"Berchtesgadener Alpen","Watzmann","2713","Bayern"
"Bergisches Land","Homert","519,2","Nordrhein-Westfalen"
"Binger Wald","Kandrich","638,6","Rheinland-Pfalz"
"Bleicheröder Berge","Ziegenrück","460,8","Thüringen"
"Borkenberge","Fischberg","133,3","Nordrhein-Westfalen"
"Bramwald","Totenberg","408,1","Niedersachsen"
"Brohmer Berge","namenlose Kuppe? bei Matzdorf","153,1","Mecklenburg-Vorpommern"
"Bückeberg","Bückeberg","367","Niedersachsen"
"Burgberg","Burgberg","355,0","Niedersachsen"
"Burgwald","Knebelsrod","443,1","Hessen"
"Calvörder Berge","Rabenberg","145,7","Sachsen-Anhalt"
"Chiemgauer Alpen","Sonntagshorn","1961","Bayern"
"Dammer Berge","Signalberg","146","Niedersachsen"
"Deister","Bröhn","405,0","Niedersachsen"
"Die Berge","Tannenbültenberg","107,4","Nordrhein-Westfalen"
"Die Haard","Stimberg","156,9","Nordrhein-Westfalen"
"Dinkelberg","Hohe Flum","536,2","Baden-Württemberg"
"Dollberge","Dollberg","695,4","Rheinland-Pfalz, Saarland"
"Dransfelder Stadtwald","Hoher Hagen","492,5","Niedersachsen"
"Drawehn	Hoher","Mechtin","142","Niedersachsen"
"Dresdner Heide","Dachsenberg","280,8","Sachsen"
"Duinger Berg","Babenstein","331","Niedersachsen"
"Dün","Kuppe im Keulaer Wald","522,3","Thüringen"
"Ebbegebirge","Nordhelle","663,3","Nordrhein-Westfalen"
"Eggegebirge","Preußischer Velmerstot","464","Nordrhein-Westfalen"
"Eifel","Hohe Acht","746,9","Rheinland-Pfalz"
"Elbsandsteingebirge","Großer Zschirnstein","561,74","Sachsen"
"Elfas","Helleberg","409,6","Niedersachsen"
"Ellenser Wald","Scharfenberg","342","	Niedersachsen"
"Ellwanger Berge","Schönberg","569,2","Baden-Württemberg"
"Elm","Eilumer Horn","323,3","Niedersachsen"
"Elstergebirge","Kapellenberg","759","Sachsen"
"Erzgebirge","Fichtelberg","1214,79","Sachsen"
"Estergebirge","Krottenkopf","2.086","Bayern"
"Fahner Höhe","Abtsberg","413,0","Thüringen"
"Falkenberg-Endmoräne","Falkenberg","150","Niedersachsen"
"Fichtelgebirge","Schneeberg","1051","Bayern"
"Finne","Seligenbornsberg","355,8","Thüringen"
"Frankenwald","Döbraberg","794,6","Bayern, Thüringen"
"Frankenhöhe","Hornberg","554,0","Bayern"
"Frickenhofer Höhe","Hohentannen","565,4","Baden-Württemberg"
"Fläming","Hagelberg","200,24","Brandenburg"
"Gattergebirge","namenlose Kuppe","618","Bayern"
"Gleichberge","Großer Gleichberg","679,0","Thüringen"
"Giesener Berge","namenlose Kuppe","162,6","Niedersachsen"
"Gobert","Hohestein","569,0","Hessen, Thüringen"
"Göttinger Wald","Mackenröder Spitze","427,5","Niedersachsen"
"Grödener Berge","Heidehöhe","201,4","Brandenburg"
"Großer Heuberg","Lemberg","1015,3","Baden-Württemberg"
"Haarstrang","Spitze Warte","390,6","Nordrhein-Westfalen"
"Habichtswälder","Bergland Hohes Gras","614,8","Hessen"
"Hahnenkamm","Dürrenberg","656,4","Bayern"
"Hainberg","Kalter Buschkopf","299","Niedersachsen"
"Hainich","Alter Berg","493,9","Thüringen"
"Hainleite","Wettenburg","463,2","Thüringen"
